game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Need for Speed: The Run,PC,Black Box,Driving,,T,15-Nov-11,69,60
Shinobi,3DS,Griptonite Games,Action,No Online Multiplayer,T,15-Nov-11,69,74
Q.U.B.E.,PC,Toxic Games,Miscellaneous,,,17-Dec-11,69,75
Lume,PC,State of Play Games,Miscellaneous,,,9-May-11,69,50
Forsaken World,PC,Perfect World Entertainment,Role-Playing,,,22-Mar-11,69,50
Runespell: Overture,PC,Mystic Box,Role-Playing,,,20-Jul-11,69,69
Earth Defense Force: Insect Armageddon,PC,Vicious Cycle,Action,,T,14-Dec-11,69,72
"Freakyforms: Your Creations, Alive!",3DS,"Asobism, Co. ltd.",Miscellaneous,1 Player,E,10-Nov-11,68,77
3D Classics: TwinBee,3DS,Arika,Action,1 Player,E,22-Sep-11,68,75
Mount & Blade: With Fire & Sword,PC,Taleworlds,Role-Playing,,T,3-May-11,68,69
Men of War: Vietnam,PC,Best Way,Strategy,,T,8-Sep-11,68,52
Battlefield: Play4Free,PC,Digital Illusions,Action,,,10-Mar-11,68,20
Oil Rush,PC,"Unigine Corp, Russia",Strategy,,,23-Sep-11,67,65
Xotic,PC,WXP,Action,,,16-Sep-11,67,76
Railworks 3: Train Simulator 2012,PC,RailSimulator.com,Simulation,,E,23-Sep-11,67,64
FIFA Soccer 12,3DS,EA Sports,Sports,2  Online,E,27-Sep-11,67,39
The Sims Medieval: Pirates & Nobles,PC,The Sims Studio,Simulation,,T,30-Aug-11,67,47
Mahjong Cub3d,3DS,SunSoft,Miscellaneous,,E,11-Oct-11,67,53
LEGO Star Wars III: The Clone Wars,3DS,Traveller's Tales,Action Adventure,,E10+,27-Mar-11,67,61
Operation Flashpoint: Red River,PC,Codemasters,Action,4  Online,M,6-Jun-11,67,49
Sonic Generations,3DS,"Sega, Dimps Corporation",Action,2  Online,E,22-Nov-11,66,67
The Lord of the Rings: War in the North,PC,Snowblind Studios,Role-Playing,3  Online,M,1-Nov-11,66,71
Dragon Age II: Legacy,PC,BioWare,Role-Playing,,M,26-Jul-11,66,43
Fallout: New Vegas - Honest Hearts,PC,Obsidian Entertainment,Role-Playing,,M,17-May-11,66,67
Dead Rising 2: Off the Record,PC,Capcom Vancouver,Action Adventure,,M,11-Oct-11,66,57
Serious Sam Double D,PC,Mommy's Best Games,Action,,,30-Aug-11,66,75
Dungeons,PC,Realmforge Studios,Strategy,,M,10-Feb-11,65,46
Need for Speed: The Run,3DS,Firebrand Games,Driving,Up to 4 ,E10+,15-Nov-11,65,63
Darkspore,PC,Maxis,Role-Playing,4  Online,T,25-Apr-11,65,60
Resident Evil: The Mercenaries 3D,3DS,Capcom,Action Adventure,2,M,28-Jun-11,65,65
Hoard,PC,"Big Sandwich Games, Inc.",Action,,E,4-Apr-11,65,72
Cargo! The Quest for Gravity,PC,Ice-Pick Lodge,Miscellaneous,,T,21-Apr-11,64,70
Serious Sam: The Random Encounter,PC,"Croteam, Vlambeer",Action,,,24-Oct-11,64,64
SpongeBob Squigglepants 3D,3DS,WayForward,Miscellaneous,,E,17-May-11,64,57
