game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,Capcom,Adventure,No Online Multiplayer,,8-Sep-16,81,84
Nelly Cootalot: The Fowl Fleet,PC,"Application Systems Heidelberg Software GmbH, Application Systems Heidelberg",Adventure,No Online Multiplayer,,22-Mar-16,81,77
Maldita Castilla EX: Cursed Castilla,XONE,Locomalito,Action,,T,20-Jul-16,81,78
Overcooked!,PC,Ghost Town Games Ltd.,Action,,,3-Aug-16,81,78
Motorsport Manager,PC,"Playsport Games, Playsport Games Ltd",Action,No Online Multiplayer,E10+,9-Nov-16,81,85
Zero Escape: Zero Time Dilemma,3DS,"Spike Chunsoft, Chime",Adventure,No Online Multiplayer,M,28-Jun-16,81,82
Steins;Gate 0,PS4,5pb,Adventure,,M,29-Nov-16,81,79
Maldita Castilla EX: Cursed Castilla,PC,Locomalito,Action,No Online Multiplayer,,20-Oct-16,81,74
Atlas Reactor,PC,Trion Worlds,Turn-Based,Online Multiplayer,,4-Oct-16,81,75
Redout,PC,34BigThings,General,Online Multiplayer,E,2-Sep-16,81,79
Dragon Quest VII: Fragments of the Forgotten Past,3DS,ArtePiazza,Role-Playing,No Online Multiplayer,E10+,16-Sep-16,81,84
Darksiders: Warmastered Edition,PS4,"Nordic Games Publishing, Kaiko",Action Adventure,,M,22-Nov-16,81,76
The Legend of Heroes: Trails of Cold Steel II,VITA,Falcom,Role-Playing,,T,6-Sep-16,80,84
Plants vs Zombies: Garden Warfare 2,XONE,PopCap,Action,,E10+,23-Feb-16,80,78
Shantae: Half-Genie Hero,WIIU,WayForward,Action,,T,20-Dec-16,80,85
Pac-Man 256,XONE,HIPSTER WHALE,Action,,E,21-Jun-16,80,73
Darksiders: Warmastered Edition,XONE,Nordic Games Publishing,Action Adventure,,M,22-Nov-16,80,80
Leap of Fate,PC,Clever-Plays,Action,No Online Multiplayer,,30-Mar-16,80,75
Tyranny,PC,Obsidian Entertainment,Role-Playing,No Online Multiplayer,,10-Nov-16,80,78
Football Manager 2017,PC,Sports Interactive,Sports,,E,4-Nov-16,80,52
King's Quest Chapter 3: Once Upon a Climb,XONE,The Odd Gentlemen,Adventure,,,26-Apr-16,80,57
BoxBoxBoy!,3DS,HAL Labs,Puzzle,,E,30-Jun-16,80,79
Overcooked!,XONE,Ghost Town Games Ltd.,Action,,E,3-Aug-16,80,65
Virginia,XONE,505 Games,Adventure,,M,22-Sep-16,80,61
Oxenfree,PC,Night School Studio,Action Adventure,No Online Multiplayer,T,14-Jan-16,80,77
Tokyo Mirage Sessions #FE,WIIU,Atlus,General,No Online Multiplayer,T,24-Jun-16,80,79
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,PC,Telltale Games,Action,,,20-Dec-16,80,71
Naruto Shippuden: Ultimate Ninja Storm 4,XONE,CyberConnect2,Action,,T,9-Feb-16,80,84
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,PS4,Telltale Games,Action,,M,20-Dec-16,80,70
Prison Architect,PS4,"Introversion, Double Eleven",Strategy,,M,28-Jun-16,80,71
BioShock: The Collection,PC,2K Games,Action,,M,16-Sep-16,80,69
Samorost 3,PC,Amanita Design,General,,,24-Mar-16,80,78
Hyper Light Drifter,PS4,Heart Machine,Role-Playing,,T,26-Jul-16,80,77
OneShot,PC,Team Oneshot,Puzzle,No Online Multiplayer,,8-Dec-16,80,87
Score Rush Extended,PS4,Xona Games,Action,,E,31-May-16,80,75
Ghost 1.0,PC,@unepic_fran,Action Adventure,No Online Multiplayer,,7-Jun-16,80,75
The Turing Test,XONE,Bulkhead Interactive,Action,,T,30-Aug-16,80,74
Tom Clancy's The Division,XONE,Massive Entertainment,Shooter,Up to 16 ,M,8-Mar-16,80,69
Candle,PC,Teku Studios ,Action,No Online Multiplayer,RP,11-Nov-16,80,77
1979 Revolution: Black Friday,PC,"N-Fusion Interactive Entertainment Corp., iNK Stories",Adventure,No Online Multiplayer,,4-Apr-16,80,76
Pinball FX2 VR,PS4,Zen Studios,Action,,E10+,29-Nov-16,80,67
Cities: Skylines - Natural Disasters,PC,Colossal Order,Strategy,,E,29-Nov-16,80,62
Tom Clancy's The Division,PS4,Massive Entertainment,Shooter,Up to 24 ,M,8-Mar-16,80,70
Downwell,PS4,Moppin,Action,,E10+,24-May-16,80,72
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,PS4,Telltale Games,Action,,M,20-Dec-16,80,66
Gravity Rush Remastered,PS4,Bluepoint Games,Action,No Online Multiplayer,T,2-Feb-16,80,81
World of Tanks,PS4,Wargaming.net,Action,Up to 30 ,T,19-Jan-16,80,56
World of Van Helsing: Deathtrap,XONE,NeocoreGames,Strategy,,T,30-Dec-16,80,69
Skylanders Imaginators,PS4,Toys for Bob,Action,,E10+,16-Oct-16,79,53
Fractured Space,PC,Edge Case Games,Sci-Fi,Online Multiplayer,,22-Sep-16,79,76
Steredenn,XONE,Pixelnest Studio,Action,,E10+,1-Apr-16,79,62
Shantae and the Pirate's Curse,XONE,WayForward,Action,,T,16-Mar-16,79,83
Oxenfree,PS4,Night School Studio,Action Adventure,,T,31-May-16,79,76
Jotun: Valhalla Edition,WIIU,Thunder Lotus Games,Action,,T,8-Sep-16,79,64
The Banner Saga,PS4,Stoic,Role-Playing,,T,12-Jan-16,79,76
Fallout 4: Far Harbor,PC,Bethesda Game Studios,Role-Playing,,M,19-May-16,79,66
King's Quest Chapter 3: Once Upon a Climb,PS4,The Odd Gentlemen,Adventure,,E10+,26-Apr-16,79,69
Goetia,PC,Sushee,Adventure,No Online Multiplayer,,14-Apr-16,79,73
Dying Light: The Following,PC,Techland,Action Adventure,,M,9-Feb-16,79,83
Tom Clancy's The Division,PC,Massive Entertainment,Shooter,,M,8-Mar-16,79,60
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,CyberConnect2,Action,Up to 8 ,T,9-Feb-16,79,80
Kelvin and the Infamous Machine,PC,Blyts,Adventure,No Online Multiplayer,,21-Jul-16,79,73
Hitman - Episode 2: Sapienza,XONE,Io Interactive,Action Adventure,,,26-Apr-16,79,67
SMITE,PS4,Hi-Rez Studios,Strategy,Up to 10 ,T,24-Mar-16,79,68
Pillars of Eternity: The White March - Part 2,PC,Obsidian Entertainment,Role-Playing,,,16-Feb-16,79,74
Trackmania Turbo,PC,Nadeo,Racing,,E,24-Mar-16,79,71
The King of Fighters XIV,PS4,"SNK Playmore, SNK Corporation",Action,Up to 12 ,T,23-Aug-16,79,82
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,VITA,Spike Chunsoft,Role-Playing,2,E10+,26-Jul-16,79,80
Hitman - Episode 3: Marrakesh,PC,Io Interactive,Action Adventure,,,31-May-16,79,57
Pac-Man 256,PS4,HIPSTER WHALE,Action,,E,21-Jun-16,79,71
Alienation,PS4,Housemarque,Sci-Fi,Up to 4 ,M,26-Apr-16,79,78
Anarcute,PC,Anarteam,Action,No Online Multiplayer,,12-Jul-16,79,76
Homeworld: Deserts of Kharak,PC,Blackbird Interactive,Strategy,,E10+,20-Jan-16,79,79
Hue,PC,Fiddlesticks Games,Puzzle,No Online Multiplayer,,30-Aug-16,79,78
The Metronomicon,PC,Puuba,Action,,T,1-Sep-16,79,71
Mantis Burn Racing,XONE,VooFoo Studios,Racing,,E,12-Oct-16,79,74
EA Sports UFC 2,PS4,EA Sports,Sports,2,T,15-Mar-16,79,58
Noitu Love: Devolution,WIIU,"Konjak, MP2 Games",Action,,E10+,15-Sep-16,79,72
Shadow Warrior 2,PC,Flying Wild Hog,Action,Online Multiplayer,,13-Oct-16,78,81
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,XONE,Telltale Games,Action,,M,20-Dec-16,78,63
This War of Mine: The Little Ones,XONE,11 bit studios,Strategy,,M,29-Jan-16,78,76
Xanadu Next,PC,Falcom,Role-Playing,No Online Multiplayer,,3-Nov-16,78,73
Obliteracers,PC,"Space Dust Studios, Varkian Empire",Racing,,E,23-Feb-16,78,77
Layers of Fear,XONE,Bloober Team,Adventure,,M,16-Feb-16,78,72
DeathSmiles,PC,Cave,Action,No Online Multiplayer,,10-Mar-16,78,70
NHL 17,PS4,"EA Canada, EA Vancouver",Sports,Up to 12 ,E10+,13-Sep-16,78,56
The Sims 4: City Living,PC,Maxis,Simulation,,T,1-Nov-16,78,58
Stellaris,PC,Paradox Development Studio,Strategy,,,9-May-16,78,80
King's Quest Chapter 5: The Good Knight,PS4,The Odd Gentlemen,Adventure,,E10+,25-Oct-16,78,51
Hatsune Miku: Project Diva X,PS4,Sega,Action,No Online Multiplayer,T,30-Aug-16,78,73
Overcooked!,PS4,Ghost Town Games Ltd.,Action,,E,2-Aug-16,78,78
Grand Kingdom,PS4,Spike Chunsoft,Strategy,Online Multiplayer,T,21-Jun-16,78,75
Wuppo,PC,Knuist & Perzik,Action,No Online Multiplayer,,29-Sep-16,78,83
Zero Escape: Zero Time Dilemma,PC,Spike Chunsoft,Adventure,No Online Multiplayer,,29-Jun-16,78,79
Skylanders Imaginators,XONE,Toys for Bob,Action,,E10+,16-Oct-16,78,52
LEGO Star Wars: The Force Awakens,PS4,TT Games,Action Adventure,No Online Multiplayer,E10+,28-Jun-16,78,75
Dungeon of the Endless,XONE,Amplitude Studios,Strategy,,T,16-Mar-16,78,57
Unravel,PS4,Coldwood Interactive,Action,,E,9-Feb-16,78,82
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,XONE,Telltale Games,Action,,M,20-Dec-16,78,62
"That Dragon, Cancer",PC,Numinous Games,General,No Online Multiplayer,,11-Jan-16,78,60
Heavy Rain & Beyond: Two Souls Collection,PS4,Quantic Dream,Miscellaneous,,,4-Mar-16,78,83
RIGS: Mechanized Combat League,PS4,Guerilla Cambridge,Simulation,Up to 6 ,T,13-Oct-16,78,76
Heavy Rain,PS4,"Quantic Dream, Virtuos",Adventure,,M,1-Mar-16,78,79
Fallout 4: Far Harbor,XONE,Bethesda Game Studios,Role-Playing,,M,19-May-16,78,64
Worms W.M.D,PS4,Team 17,Strategy,Up to 6 ,E10+,23-Aug-16,78,70
Amnesia Collection,PS4,Frictional Games,Miscellaneous,,M,22-Nov-16,78,73
The Banner Saga 2,PS4,Stoic,Role-Playing,,T,5-Jul-16,78,75
Melty Blood: Actress Again Current Code,PC,"Ecole, French-Bread",Action,,,19-Apr-16,78,74
Offworld Trading Company,PC,Mohawk Games,Strategy,Online Multiplayer,,28-Apr-16,78,74
This War of Mine: The Little Ones,PS4,11 bit studios,Strategy,,M,29-Jan-16,78,74
Oxenfree,XONE,Night School Studio,Action Adventure,,T,15-Jan-16,78,73
Hue,XONE,Fiddlesticks Games,Puzzle,,E,30-Aug-16,78,71
ABZU,PS4,Giant Squid,Fantasy,No Online Multiplayer,E,2-Aug-16,78,76
Toki Tori 2 +,PS4,Two Tribes,Puzzle,,E,23-Feb-16,78,56
Call of Duty: Infinite Warfare,XONE,Infinity Ward,Action,Up to 18 ,M,4-Nov-16,78,36
The Count Lucanor,PC,Baroque Decay,Action Adventure,No Online Multiplayer,,3-Mar-16,78,78
Pac-Man Championship Edition 2,PC,Bandai Namco Games,Action,No Online Multiplayer,E,13-Sep-16,78,66
Crashlands,PC,Butterscotch Shenanigans,Role-Playing,No Online Multiplayer,,21-Jan-16,78,78
Style Savvy: Fashion Forward,3DS,syn Sophia,Simulation,,E,19-Aug-16,78,69
Dungelot: Shattered Lands,PC,"Red Winter Software Limited, Red Winter Software",Role-Playing,No Online Multiplayer,,18-Feb-16,78,68
Dying Light: The Following,PS4,Techland,Action Adventure,,M,9-Feb-16,78,79
Mega Man Legacy Collection,3DS,Digital Eclipse,Miscellaneous,No Online Multiplayer,E,23-Feb-16,77,77
Reigns,PC,Nerial,Simulation,No Online Multiplayer,,11-Aug-16,77,75
Letter Quest: Grimm's Journey Remastered,XONE,Bacon Bandit Games,Puzzle,,E,8-Apr-16,77,64
Life Goes On: Done to Death,PS4,Infinite Monkeys,Action,,E10+,17-May-16,77,68
Far Cry Primal,XONE,Ubisoft Montreal,Action,No Online Multiplayer,M,23-Feb-16,77,64
Sky Force Anniversary,XONE,Infinite Dreams Inc.,Action,,E10+,9-Dec-16,77,52
Livelock,XONE,Tuque Games,Action,,T,30-Aug-16,77,70
Ultimate Marvel vs. Capcom 3,PS4,Capcom,Action,Up to 8 ,T,3-Dec-16,77,72
Pac-Man Championship Edition 2,PS4,Bandai Namco Games,Action,,E,13-Sep-16,77,74
Street Fighter V,PS4,Capcom,Action,2,T,16-Feb-16,77,36
Shu,PS4,Coatsink Software,Action,,E,4-Oct-16,77,68
Virginia,PS4,505 Games,Adventure,,M,22-Sep-16,77,58
Baldur's Gate: Siege of Dragonspear,PC,Overhaul Games,Role-Playing,,,31-Mar-16,77,37
Kerbal Space Program,PS4,Flying Tiger Development,Simulation,,E,12-Jul-16,77,62
Furi,XONE,The Game Bakers,Action,,M,2-Dec-16,77,77
Corpse Party,3DS,5pb,Action Adventure,,M,25-Oct-16,77,78
Duke Nukem 3D: 20th Anniversary World Tour,PS4,Gearbox Software,Action,Up to 8 ,M,11-Oct-16,77,74
Quantum Break,XONE,Remedy Entertainment,General,No Online Multiplayer,M,5-Apr-16,77,71
World of Final Fantasy,PS4,Square Enix,Role-Playing,No Online Multiplayer,E10+,25-Oct-16,77,77
Echoes Of Aetheria,PC,Dancing Dragon games,Role-Playing,No Online Multiplayer,,15-Jan-16,77,71
Orwell,PC,Osmotic Studios,Adventure,,,27-Oct-16,77,72
NHL 17,XONE,"EA Canada, EA Vancouver",Sports,,E10+,13-Sep-16,77,40
Hitman GO: Definitive Edition,PS4,Square Enix Montreal,Strategy,,E10+,23-Feb-16,77,66
Attack on Titan,XONE,Omega Force,Action,,M,30-Aug-16,77,64
On Rusty Trails,PC,Black Pants Studio,Action,No Online Multiplayer,,13-Jun-16,77,64
Lumo,PC,Triple Eh? Ltd,Action,No Online Multiplayer,,24-May-16,77,60
The Lion's Song,PC,Mi'pu'mi Games,Adventure,,,7-Jul-16,77,75
Chronos,PC,Gunfire Games,Action Adventure,,,28-Mar-16,77,88
Battlefleet Gothic: Armada,PC,Tindalos Interactive,Sci-Fi,,,21-Apr-16,77,74
Call of Duty: Infinite Warfare,PS4,Infinity Ward,Action,Up to 18 ,M,4-Nov-16,77,38
Kathy Rain,PC,Clifftop Games,Adventure,No Online Multiplayer,,5-May-16,77,73
Day of Infamy,PC,New World Interactive,Action,Online Multiplayer,,28-Jul-16,77,85
VA-11 Hall-A: Cyberpunk Bartender Action,PC,Sukeban Games,Simulation,No Online Multiplayer,,21-Jun-16,77,82
Hitman - Intro Pack,PS4,Io Interactive,Action Adventure,,,11-Mar-16,77,52
Warhammer: End Times - Vermintide,XONE,"Fatshark AB, Nordic Games Publishing",Action,,M,4-Oct-16,77,63
Headlander,PS4,Double Fine Productions,Action,,T,26-Jul-16,77,70
Hue,PS4,Fiddlesticks Games,Puzzle,,E,30-Aug-16,77,74
Furi,PS4,The Game Bakers,Action,,M,5-Jul-16,77,77
Pac-Man Championship Edition 2,XONE,Bandai Namco Games,Action,,E,13-Sep-16,77,80
Worms W.M.D,PC,Team 17,Strategy,,E10+,23-Aug-16,76,77
The Banner Saga,XONE,Stoic,Role-Playing,,T,12-Jan-16,76,82
Batman: The Telltale Series - Episode 5: City of Light,XONE,Telltale Games,Adventure,,M,13-Dec-16,76,69
Skullgirls: 2nd Encore,VITA,Lab Zero Games,Action,2,T,5-Apr-16,76,83
Polaris Sector,PC,SoftWarWare,Strategy,No Online Multiplayer,,22-Mar-16,76,71
The Aquatic Adventure of the Last Human,PC,YCJY,Action Adventure,No Online Multiplayer,,19-Jan-16,76,65
Total War: WARHAMMER - Realm of the Wood Elves,PC,Creative Assembly,Strategy,,,8-Dec-16,76,57
Tethered,PS4,"Secret Sorcery, SECRET SORCERY LIMITED, Secret Sorcery Towers",Action,,E10+,25-Oct-16,76,74
10 Second Ninja X,PS4,GameDesignDan,Action,,T,19-Jul-16,76,53
Grand Kingdom,VITA,Spike Chunsoft,Strategy,,T,21-Jun-16,76,83
Obduction,PC,Cyan Worlds,Adventure,No Online Multiplayer,,24-Aug-16,76,77
Clustertruck,PC,"LandFall Games, LandFall",Action,No Online Multiplayer,,27-Sep-16,76,73
Pokken Tournament,WIIU,Bandai Namco Games,Action,,E10+,18-Mar-16,76,73
Werewolves Within,PS4,Ubisoft,Miscellaneous,Up to 8 ,E,6-Dec-16,76,71
Trackmania Turbo,XONE,Nadeo,Racing,,E,22-Mar-16,76,73
Mario & Luigi: Paper Jam,3DS,"Nintendo, Alphadream Corporation",Role-Playing,No Online Multiplayer,E,22-Jan-16,76,76
Azure Striker Gunvolt 2,3DS,Inti Creates,Action,,T,29-Sep-16,76,80
Deponia Doomsday,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,,1-Mar-16,76,70
Hyper Light Drifter,XONE,Heart Machine,Role-Playing,,T,26-Jul-16,76,70
The Final Station,PC,"tinyBuild, Do My Best Games",Action Adventure,No Online Multiplayer,,30-Aug-16,76,73
EA Sports UFC 2,XONE,EA Sports,Sports,,T,15-Mar-16,76,56
7th Dragon III Code: VFD,3DS,Sega,General,No Online Multiplayer,T,12-Jul-16,76,79
Resident Evil 4,XONE,Capcom,Action Adventure,No Online Multiplayer,M,30-Aug-16,76,80
Far Cry Primal,PS4,Ubisoft Montreal,Action,No Online Multiplayer,M,23-Feb-16,76,65
Klaus,PS4,La Cosa Entertainment,Action,,E10+,19-Jan-16,76,72
Heart&Slash,PS4,AHEARTFULOFGAMES,Action,,E10+,28-Jun-16,76,70
The Walking Dead: Michonne - Episode 3: What We Deserve,PS4,Telltale Games,Adventure,,M,26-Apr-16,76,71
LEGO Star Wars: The Force Awakens,XONE,TT Games,Action Adventure,,E10+,28-Jun-16,76,70
The Magic Circle: Gold Edition,PS4,Question,Adventure,,M,26-Apr-16,76,71
Paper Mario: Color Splash,WIIU,"Nintendo, Intelligent Systems",Role-Playing,No Online Multiplayer,E,7-Oct-16,76,72
Furi,PC,The Game Bakers,Action,No Online Multiplayer,M,5-Jul-16,76,78
Everybody's Gone to the Rapture,PC,The Chinese Room,Adventure,No Online Multiplayer,,14-Apr-16,76,52
Firewatch,PS4,Campo Santo,Adventure,,M,9-Feb-16,76,68
American Truck Simulator,PC,SCS Software,Simulation,No Online Multiplayer,E,2-Feb-16,76,68
Not A Hero: Super Snazzy Edition,XONE,roll7,Action,,M,24-May-16,75,63
Unravel,XONE,Coldwood Interactive,Action,,E,9-Feb-16,75,81
Strike Vector EX,PS4,"Strike Vector Team, Ragequit Corporation",Action,Up to 12 ,M,30-Aug-16,75,70
Space Run Galaxy,PC,Passtech Games,Strategy,,,17-Jun-16,75,54
Watch Dogs 2,PC,Ubisoft Montreal,Action Adventure,,M,28-Nov-16,75,71
Killing Floor 2,PC,Tripwire Interactive,Sci-Fi,Online Multiplayer,M,18-Nov-16,75,76
Beholder,PC,Warm Lamp Games,Strategy,No Online Multiplayer,T,9-Nov-16,75,79
Seasons After Fall,PC,Swing Swing Submarine,Platformer,No Online Multiplayer,,2-Sep-16,75,69
Killing Floor 2,PS4,Tripwire Interactive,Action,Up to 12 ,M,16-Nov-16,75,73
Deus Ex: Mankind Divided - System Rift,PS4,Eidos Montreal,Action Adventure,,M,27-Sep-16,75,64
Hitman - Intro Pack,XONE,Io Interactive,Action Adventure,,,11-Mar-16,75,44
Hitman - Episode 3: Marrakesh,PS4,Io Interactive,Action Adventure,,,31-May-16,75,73
Battlezone 98 Redux,PC,Big Boat Interactive,Simulation,,,18-Apr-16,75,87
Silence: The Whispered World 2,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,,15-Nov-16,75,75
Digimon Story Cyber Sleuth,PS4,Media Vision,Role-Playing,2,T,2-Feb-16,75,80
Shardlight,PC,Wadjet Eye Games,Adventure,No Online Multiplayer,,8-Mar-16,75,66
Fallout 4: Far Harbor,PS4,Bethesda Game Studios,Role-Playing,,M,19-May-16,75,64
Worms W.M.D,XONE,Team 17,Strategy,,E10+,23-Aug-16,75,81
Batman: The Telltale Series - Episode 5: City of Light,PC,Telltale Games,Adventure,,,13-Dec-16,75,68
Stikbold! A Dodgeball Adventure,PS4,Reign Bros,Action,,E,5-Apr-16,75,70
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Gust,Role-Playing,No Online Multiplayer,T,7-Jun-16,75,76
Batman: The Telltale Series - Episode 4: Guardian of Gotham,XONE,Telltale Games,Adventure,,M,22-Nov-16,75,51
Road to Ballhalla,PC,Torched Hill,Action,No Online Multiplayer,,5-Aug-16,75,72
Resident Evil 5,XONE,Capcom,Action Adventure,,M,28-Jun-16,75,73
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,VITA,Gust,Role-Playing,,E10+,19-Jan-16,75,82
Raiden V,XONE,Moss,Action,,E,11-May-16,75,78
Ittle Dew 2,PS4,Ludosity Interactive,Role-Playing,,E10+,15-Nov-16,75,60
Shantae and the Pirate's Curse,PS4,WayForward,Action,,T,9-Apr-16,75,76
The Little Acre,XONE,"Curve Digital Games, Curve Digital",Action Adventure,,E10+,13-Dec-16,75,80
RIVE,PS4,Two Tribes,Action,,E10+,13-Sep-16,75,71
Hitman - Intro Pack,PC,Io Interactive,Action Adventure,,,11-Mar-16,75,38
Valentino Rossi The Game,PS4,"Milestone, Milestone S.r.l",Racing,Up to 12 ,E,17-Jun-16,75,75
Push Me Pull You,PS4,House House,Sports,,E,3-May-16,75,66
Yomawari: Night Alone,VITA,Nippon Ichi Software,Adventure,,T,25-Oct-16,75,83
Prison Architect,XONE,"Introversion, Double Eleven",Strategy,,,1-Jul-16,75,68
"Gremlins, Inc.",PC,Yukitama Creative Industries,Miscellaneous,Online Multiplayer,,11-Mar-16,75,53
Reus,PS4,Soedesco,Strategy,,E10+,11-Oct-16,75,42
Event[0],PC,Ocelot Society,Adventure,No Online Multiplayer,,14-Sep-16,75,67
Tropico 5 Penultimate Edition,XONE,Kalypso,Strategy,,T,24-May-16,75,63
Epistory - Typing Chronicles,PC,Fishing Cactus,Action Adventure,No Online Multiplayer,,30-Mar-16,74,76
Batman: Arkham VR,PS4,Rocksteady Studios,Action,,M,11-Oct-16,74,72
Slain: Back from Hell,PC,Wolf Brew Games,Action,,,1-Aug-16,74,83
Call of Duty: Black Ops III - Eclipse,PS4,Treyarch,Action,,,19-Apr-16,74,38
Fallout 4: Nuka-World,PC,Bethesda Game Studios,Role-Playing,,,30-Aug-16,74,53
Kerbal Space Program,XONE,"Flying Tiger Entertainment Inc., Squad",Simulation,,E,15-Jul-16,74,70
SuperHyperCube,PS4,KOKOROMI,Puzzle,,E,13-Oct-16,74,61
Neverwinter,PS4,Cryptic Studios,Role-Playing,Massively Multiplayer,T,19-Jul-16,74,70
I Am Setsuna,PS4,Tokyo RPG Factory,Role-Playing,,E10+,19-Jul-16,74,74
Not a Hero,PS4,roll7,General,,M,2-Feb-16,74,64
Nobunaga's Ambition: Sphere of Influence - Ascension,PS4,Koei Tecmo Games,Strategy,,T,25-Oct-16,74,67
Far Cry Primal,PC,Ubisoft Montreal,Action,No Online Multiplayer,M,29-Feb-16,74,53
The Turing Test,PC,Bulkhead Interactive,Action,No Online Multiplayer,E10+,30-Aug-16,74,68
Grow Up,XONE,Ubisoft Reflections,Action Adventure,,E,16-Aug-16,74,73
Layers of Fear,PS4,Bloober Team,Adventure,,M,16-Feb-16,74,76
Street Fighter V,PC,Capcom,Action,,T,16-Feb-16,74,31
Heaven's Hope,PC,Mosaic Mask,General,No Online Multiplayer,,25-Feb-16,74,67
Shadow Complex Remastered,XONE,Chair Entertainment,Action,,T,16-Mar-16,74,55
Call of Duty: Black Ops III - Awakening,PS4,Treyarch,Action,,,2-Feb-16,74,54
Star Fox Guard,WIIU,"Nintendo, PlatinumGames",Action,,E10+,22-Apr-16,74,72
Amplitude,PS4,Harmonix Music Systems,Miscellaneous,,E,5-Jan-16,74,72
Yesterday Origins,PC,Pendulo Studios,Adventure,No Online Multiplayer,M,10-Nov-16,74,73
Wild Guns Reloaded,PS4,"Natsume, NATSUME ATARI Inc.",Action,,E10+,20-Dec-16,74,59
Attack on Titan,PS4,Omega Force,Action,Up to 4 ,M,30-Aug-16,74,70
Dead Rising 4,PC,"Capcom, Capcom Vancouver",Action Adventure,Online Multiplayer,M,6-Dec-16,74,37
Anarcute,XONE,Anarteam,Action,,E10+,12-Jul-16,74,73
Neon Chrome,PC,"10tons Entertainment, 10tons",Action,No Online Multiplayer,T,28-Apr-16,74,75
Eagle Flight,PC,FunHouse,Action,Online Multiplayer,,13-Oct-16,74,69
Batman: The Telltale Series - Episode 3: New World Order,PS4,Telltale Games,Adventure,,M,25-Oct-16,74,71
Blues and Bullets - Episode 2: Shaking The Hive,XONE,A Crowd of Monsters,Action Adventure,,,8-Apr-16,74,45
TASTEE: Lethal Tactics,PC,SkyBox Labs,Strategy,Online Multiplayer,,10-May-16,74,73
Disgaea PC,PC,Nippon Ichi Software,Strategy,No Online Multiplayer,T,4-Feb-16,74,59
Headlander,PC,Double Fine Productions,Action,No Online Multiplayer,T,26-Jul-16,74,76
Neverending Nightmares,PS4,Infinitap Games,Action Adventure,,M,3-May-16,74,69
Mirror's Edge Catalyst,PC,EA DICE,Action,,T,7-Jun-16,74,52
Virginia,PC,Variable State,Adventure,,,22-Sep-16,74,49
The Flame in the Flood,XONE,The Molasses Flood,Action Adventure,,T,24-Feb-16,74,50
Batman: The Telltale Series - Episode 1: Realm of Shadows,PC,Telltale Games,Adventure,,M,2-Aug-16,74,64
Master of Orion: Conquer the Stars,PC,NGD Studios,Strategy,,,25-Aug-16,74,69
Stories: The Path of Destinies,PC,Spearhead Games,Role-Playing,No Online Multiplayer,,12-Apr-16,74,71
Fallout 4: Automatron,XONE,Bethesda Game Studios,Role-Playing,,M,22-Mar-16,74,57
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PS4,Telltale Games,Adventure,,M,22-Nov-16,73,65
Ladykiller in a Bind,PC,Love Conquers All Games,Action Adventure,,,10-Oct-16,73,74
Super Mario Maker for Nintendo 3DS,3DS,Nintendo,Action,,E,2-Dec-16,73,65
The Deadly Tower of Monsters,PC,ACE Team,Action Adventure,No Online Multiplayer,T,19-Jan-16,73,78
Black Desert Online,PC,Pearl Abyss,Role-Playing,Online Multiplayer,,3-Mar-16,73,70
Just Dance 2017,XONE,Ubisoft Paris,Action,,E10+,25-Oct-16,73,66
Just Dance 2017,PS4,Ubisoft Paris,Action,,E10+,25-Oct-16,73,67
Jotun: Valhalla Edition,XONE,Thunder Lotus Games,Action,,T,9-Sep-16,73,57
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PC,Telltale Games,Adventure,,,22-Nov-16,73,68
God Eater 2: Rage Burst,PC,"Shift, QLOC",Role-Playing,,T,29-Aug-16,73,69
Punch Club,PC,Lazy Bear Games,Sports,No Online Multiplayer,T,8-Jan-16,73,71
Livelock,PC,Tuque Games,Action,,T,30-Aug-16,73,76
Lumo,PS4,Triple Eh? Ltd,Action,,E10+,24-May-16,73,59
Sega 3D Classics Collection,3DS,M2,Miscellaneous,,E10+,26-Apr-16,73,75
Action Henk,PS4,RageSquid,Action,,E,8-Mar-16,73,52
Batman: The Telltale Series - Episode 3: New World Order,XONE,Telltale Games,Adventure,,,25-Oct-16,73,73
Batman: Return to Arkham,PS4,"Rocksteady Studios, Virtuos",Miscellaneous,,T,18-Oct-16,73,81
Disney Magical World 2,3DS,Bandai Namco Games,Simulation,,E,14-Oct-16,73,55
Hard Reset Redux,PC,Flying Wild Hog,Action,No Online Multiplayer,,3-Jun-16,73,67
